ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,ARR_DELAY_MEAN,DEP_DELAY_MEAN,DAY_OF_WEEK,FLIGHT_ID
14683,"San Antonio, TX",13204,"Orlando, FL",-10.0,-2.875,1,29360
14683,"San Antonio, TX",13204,"Orlando, FL",3.6666666666666665,13.166666666666666,3,29362
14683,"San Antonio, TX",13204,"Orlando, FL",-12.25,-4.5,6,29365
14683,"San Antonio, TX",13232,"Chicago, IL",-12.5,-2.375,1,29367
14683,"San Antonio, TX",13232,"Chicago, IL",5.875,14.125,5,29371
14683,"San Antonio, TX",13487,"Minneapolis, MN",26.8,38.7,3,29383
14683,"San Antonio, TX",13487,"Minneapolis, MN",-12.25,-0.75,6,29386
14683,"San Antonio, TX",13796,"Oakland, CA",-10.75,5.0,1,29395
14683,"San Antonio, TX",13796,"Oakland, CA",-7.0,18.6,2,29396
14683,"San Antonio, TX",13796,"Oakland, CA",-17.75,-1.25,6,29400
14683,"San Antonio, TX",13796,"Oakland, CA",-17.5,1.5,7,29401
14683,"San Antonio, TX",13930,"Chicago, IL",6.3,12.166666666666666,3,29405
14683,"San Antonio, TX",14107,"Phoenix, AZ",-3.3,0.55,6,29422
14683,"San Antonio, TX",14492,"Raleigh/Durham, NC",-36.0,-4.0,4,29425
14683,"San Antonio, TX",14747,"Seattle, WA",-15.0,-3.0,1,29434
14683,"San Antonio, TX",14747,"Seattle, WA",-18.75,-7.5,6,29439
14683,"San Antonio, TX",14771,"San Francisco, CA",-3.4,-3.4,4,29445
14683,"San Antonio, TX",14908,"Santa Ana, CA",1.0,-1.8,2,29456
14683,"San Antonio, TX",15304,"Tampa, FL",-5.6,0.0,2,29467
14683,"San Antonio, TX",15304,"Tampa, FL",-10.75,-3.75,5,29470
14683,"San Antonio, TX",15304,"Tampa, FL",-18.5,-4.75,6,29471
14685,"Savannah, GA",10721,"Boston, MA",-13.25,-6.0,1,29480
14685,"Savannah, GA",11057,"Charlotte, NC",0.34146341463414637,3.341463414634146,3,29495
14685,"Savannah, GA",11278,"Washington, DC",-1.5,6.0,1,29502
14685,"Savannah, GA",11292,"Denver, CO",22.0,6.75,1,29509
